Locus_tag	start	stop	strand	KEGG_definition	Knumber	gene_name	COG_category
DLM_2656	2822181	2823728	-	thiamine transport system permease protein	K02063	thiP	P
DLM_2657	2823725	2824279	-	[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]	K03790	rimL	J
DLM_2658	2824294	2825301	-	thiamine transport system substrate-binding protein	K02064	tbpA	H
DLM_2659	2825639	2825974	+		  	  	  
DLM_2660	2826090	2827532	+		  	COG5267	S
DLM_2661	2827554	2828741	+		  	COG4102	S
DLM_2662	2828884	2829552	-	anti-repressor protein	K07741	COG3617	K
DLM_2663	2832228	2833022	-	DNA adenine methylase [EC:2.1.1.72]	K06223	dam	L
DLM_2664	2833644	2834153	-	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	K01589	  	  
DLM_2665	2834153	2835868	-	trimeric autotransporter adhesin	K21449	  	  
DLM_2666	2835872	2836438	-		  	COG3778	S
DLM_2667	2836438	2837499	-		  	xkdT	S
DLM_2668	2837499	2837849	-		  	  	S
DLM_2669	2838223	2838849	-		  	COG4384	S
DLM_2670	2838846	2839946	-		  	COG4379	R
DLM_2671	2839930	2841213	-		  	COG4228	R
DLM_2672	2841213	2843282	-		  	  	  
DLM_2673	2843410	2843790	-	glycerate 2-kinase [EC:2.7.1.165]	K11529/K13038	  	  
DLM_2674	2843794	2844168	-		  	  	  
DLM_2675	2844234	2845652	-		  	COG4386	R
DLM_2676	2845652	2845879	-	DNA polymerase V [EC:3.4.21.-]	K03503	  	  
DLM_2677	2845876	2846541	-		  	COG5003	R
DLM_2678	2846541	2846960	-		  	COG4387	S
DLM_2679	2846963	2847379	-	translation initiation factor IF-2	K02519/K19231	  	  
DLM_2680	2847394	2848302	-		  	COG4397	R
DLM_2681	2848318	2848722	-		  	  	  
DLM_2682	2848727	2849821	-		  	COG4388	R
DLM_2683	2850310	2850522	+	putative ABC transport system permease protein	K02004	  	  
DLM_2684	2850641	2851135	-		  	COG5005	R
DLM_2685	2851132	2851968	-		  	COG2369	S
DLM_2686	2851955	2853559	-		  	COG4383	S
DLM_2687	2853571	2855205	-		  	  	  
DLM_2688	2855208	2855390	-	NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]	K03943/K00297	  	  
DLM_2689	2855398	2855898	-		  	  	  
DLM_2690	2855899	2856123	-	ferric hydroxamate transport system substrate-binding protein	K23227/K21573	  	  
DLM_2691	2856120	2856332	-	DnaK suppressor protein	K06204	  	T
DLM_2692	2856329	2856922	-	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	K01537	  	  
DLM_2693	2857139	2857366	-	nickel/cobalt transporter (NiCoT) family protein	K07241	  	  
DLM_2694	2857366	2857773	-	peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	K17733	  	  
DLM_2695	2858248	2858679	-		  	COG5566	S
DLM_2696	2858676	2859086	-		  	COG4382	S
DLM_2697	2859144	2859599	-	synaptotagmin-3	K19903/K07724	  	  
DLM_2698	2859599	2859847	-	dysferlin	K18261/K01463	  	  
DLM_2699	2859887	2860012	-	acyl-CoA thioester hydrolase [EC:3.1.2.-]	K07107/K02022	  	  
DLM_2700	2860067	2860438	-	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]	K07306	  	  
DLM_2701	2860515	2861126	-		  	  	  
DLM_2702	2861126	2861485	-	zinc finger homeobox protein 2	K09379/K02313	  	  
DLM_2703	2861482	2861787	-	zyxin	K06273/K04800	  	  
DLM_2704	2862100	2862591	-		  	  	  
DLM_2705	2862723	2863460	-		  	COG2842	R
DLM_2706	2863493	2865364	-	putative transposase	K07497	  	  
DLM_2707	2865670	2866059	-		  	  	  
DLM_2708	2867100	2867441	+		  	  	K
DLM_2709	2868670	2869491	+	golgin subfamily A member 4	K20283	  	  
DLM_2710	2869746	2871434	+	"two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"	K07678	baeS	T
DLM_2711	2871431	2871799	+	"two-component system, cell cycle response regulator DivK"	K11443	cheY	T
DLM_2712	2871880	2874651	+	"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]"	K11527/K07678	baeS	T
DLM_2713	2874655	2875740	+	"two-component system, response regulator RpfG"	K13815/K07814	COG3437	KT
DLM_2714	2875733	2877634	+	"two-component system, cell cycle response regulator [EC:2.7.7.65]"	K02488	pleD	T
DLM_2715	2877705	2878703	-	phenylalanine-4-hydroxylase [EC:1.14.16.1]	K00500	COG3186	E
DLM_2716	2878737	2879210	+	"Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"	K03719	lrp	K
DLM_2717	2879214	2880137	-	uncharacterized protein	K09781	COG2354	S
DLM_2718	2880264	2881199	-	inward rectifier potassium channel	K08715	  	  
DLM_2719	2881273	2882733	+	cardiolipin synthase A/B [EC:2.7.8.-]	K06131	cls	I
DLM_2720	2882740	2883441	-	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	K00567	ada	L
DLM_2721	2883438	2884346	-	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]	K01247/K13529	alkA	L
DLM_2722	2884477	2885538	-		  	COG2199	T
DLM_2723	2885527	2885673	+	transcriptional repressor p66	K23194/K04063	  	  
DLM_2724	2886164	2886850	-	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	K00374	narI	C
DLM_2725	2886909	2887556	-	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	K00373	narJ	C
DLM_2726	2887560	2889110	-	"nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"	K00371	narY	C
DLM_2727	2889107	2892808	-	"nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"	K00370	narG	C
DLM_2728	2892800	2892955	+	PERQ amino acid-rich with GYF domain-containing protein	K18730/K10017	  	  
DLM_2729	2893317	2893463	-	"cGMP-inhibited 3',5'-cyclic phosphodiesterase A [EC:3.1.4.17]"	K19021	  	  
DLM_2730	2893444	2893788	+	major type 1 subunit fimbrin (pilin)	K07345	fimA	NU
DLM_2731	2893763	2894104	-	uncharacterized protein	K07126/K11643	  	  
DLM_2732	2894317	2896293	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_2733	2896459	2897838	-	"MFS transporter, NNP family, nitrate/nitrite transporter"	K02575	narK	P
DLM_2734	2897892	2899145	-	"MFS transporter, NNP family, nitrate/nitrite transporter"	K02575	narK	P
DLM_2735	2899247	2899363	+	ferrous iron transport protein B	K04759	  	  
DLM_2736	2899462	2901366	+	"two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]"	K07673	narQ	T
DLM_2737	2901363	2902019	+	"two-component system, NarL family, nitrate/nitrite response regulator NarL"	K07684	citB	TK
DLM_2738	2902122	2903345	+	diguanylate cyclase [EC:2.7.7.65]	K21088	COG2199	T
DLM_2739	2903464	2904438	+	"GTP 3',8-cyclase [EC:4.1.99.22]"	K03639	moaA	H
DLM_2740	2904416	2905366	-	ferric hydroxamate transport system substrate-binding protein	K23227	fepB	P
DLM_2741	2905363	2907363	-	ferric hydroxamate transport system permease protein	K23228	fepD	P
DLM_2742	2907365	2908132	-	iron complex transport system ATP-binding protein [EC:7.2.2.-]	K02013/K10829	fepC	PH
DLM_2743	2908116	2908901	-		  	  	  
DLM_2744	2908888	2910699	-	2-[(L-alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate synthase [EC:6.3.2.55]	K23374	rhbC	Q
DLM_2745	2910761	2911357	-		  	rimL	J
DLM_2746	2911354	2912517	-	"MFS transporter, DHA1 family, multidrug resistance protein"	K08161	  	  
DLM_2747	2912526	2913845	-	lysine N6-hydroxylase [EC:1.14.13.59]	K03897	iucD	Q
DLM_2748	2914261	2916417	+	iron complex outermembrane recepter protein	K02014	fhuE	P
DLM_2749	2916487	2917164	-	"CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator"	K21563	crp	T
DLM_2750	2917336	2918898	-		  	tolB	U
DLM_2751	2918895	2920091	-	Fe-coproporphyrin III synthase	K22226	COG0535	R
DLM_2752	2920258	2921265	-	siroheme decarboxylase [EC:4.1.1.111]	K22225	lrp	K
DLM_2753	2921249	2922256	-	siroheme decarboxylase [EC:4.1.1.111]	K22225	lrp	K
DLM_2754	2922253	2923458	-	protein NirF	K19345	COG3391	S
DLM_2755	2923419	2923754	-	cytochrome c55X	K19344	cccA	C
DLM_2756	2923736	2924044	-	cytochrome c	K08738/K22622	COG4654	C
DLM_2757	2924124	2925851	-	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	K15864	cccA	C
DLM_2758	2926040	2926255	-		  	  	  
DLM_2759	2926303	2926419	+	SLIT-ROBO Rho GTPase activating protein	K07526	  	  
DLM_2760	2926426	2928258	-	nitric oxide reductase NorD protein	K02448	norD	P
DLM_2761	2928271	2929074	-	nitric oxide reductase NorQ protein	K04748	COG0714	R
DLM_2762	2929084	2929344	-	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]	K04090/K02277	  	  
DLM_2763	2929485	2930078	-	nitric oxide reductase NorE protein	K02164	cyoC	C
DLM_2764	2930134	2931561	-	nitric oxide reductase subunit B [EC:1.7.2.5]	K04561	norB	P
DLM_2765	2931594	2931965	-	nitric oxide reductase subunit C	K02305	  	  
DLM_2766	2932182	2933018	+	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	K02303/K02302	cysG	H
DLM_2767	2933092	2933520	+	regulator of cell morphogenesis and NO signaling	K07322	COG3945	S
DLM_2768	2933517	2933729	+	replication factor C subunit 2/4	K10755/K04085	  	  
DLM_2769	2933726	2935024	+		  	  	  
DLM_2770	2935195	2935758	+	type VI secretion system secreted protein VgrG	K11904	  	  
DLM_2771	2935774	2936187	+	tRNA-dihydrouridine synthase C [EC:1.-.-.-]	K05541	COG3189	S
DLM_2772	2936192	2936671	+		  	marR	K
DLM_2773	2936757	2937872	+	CBS domain-containing membrane protein	K07168	COG3448	T
DLM_2774	2937969	2938082	-	cytochrome b-561 [EC:7.2.1.3]	K08360	  	  
DLM_2775	2938098	2939294	+	uncharacterized protein involved in response to NO	K07234	nnrS	P
DLM_2776	2939370	2939711	+	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]	K03772/K01802	fkpA	O
DLM_2777	2939718	2941202	-		  	rfaF	M
DLM_2778	2941289	2943082	-		  	  	  
DLM_2779	2943344	2944576	-	"MFS transporter, DHA1 family, inner membrane transport protein"	K19577	araJ	G
DLM_2780	2944720	2945586	-		  	lysR	K
DLM_2781	2945748	2946578	+		  	rhaT	GER
DLM_2782	2946575	2947810	-	"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]"	K11527	cheY	T
DLM_2783	2948009	2948635	+	"two-component system, NarL family, response regulator EvgA"	K07690/K07688	citB	TK
DLM_2784	2949050	2949760	+	dihydroanticapsin dehydrogenase [EC:1.1.1.385]	K19548	fabG	IQR
DLM_2785	2949764	2951002	+	glucarate dehydratase [EC:4.2.1.40]	K01706	COG4948	MR
DLM_2786	2950995	2952128	+	multiple sugar transport system ATP-binding protein	K10112	malK	G
DLM_2787	2952125	2953360	+	multiple sugar transport system substrate-binding protein	K02027/K10232	ugpB	G
DLM_2788	2953410	2954363	+	multiple sugar transport system permease protein	K02025/K10118	ugpA	G
DLM_2789	2954363	2955229	+	multiple sugar transport system permease protein	K02026/K10119	ugpE	G
DLM_2790	2955229	2955948	+	"GntR family transcriptional regulator, rspAB operon transcriptional repressor"	K22293	gntR	K
DLM_2791	2955945	2956838	+	"xylono-1,5-lactonase [EC:3.1.1.110]"	K14274	COG3386	G
DLM_2792	2956993	2959860	-	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	K00525	nrdA	F
DLM_2793	2960081	2963443	-		  	asmA	M
DLM_2794	2963511	2964737	+		  	COG4394	S
DLM_2795	2964834	2965358	+	elongation factor P	K02356	efp	J
DLM_2796	2965462	2966004	+		  	dinB	S
DLM_2797	2966055	2967278	-	cell division protein ZapE	K06916	COG1485	R
DLM_2798	2967512	2968252	+	acetoacetate decarboxylase [EC:4.1.1.4]	K01574	adc	Q
DLM_2799	2968268	2969050	+	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	K00019	fabG	IQR
DLM_2800	2969157	2970335	+	NTE family protein	K07001	rssA	R
DLM_2801	2970401	2971288	-	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]	K12339	cysK	E
DLM_2802	2971445	2972440	-	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	K03274	wcaG	MG
DLM_2803	2972516	2973478	-	D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]	K21344	rfaE	M
DLM_2804	2973484	2974803	-	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	K00012	ugd	M
DLM_2805	2974800	2975546	-	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	K01591	  	F
DLM_2806	2975565	2976725	-	lipopolysaccharide assembly protein B	K19804	  	G
DLM_2807	2976799	2977092	-	lipopolysaccharide assembly protein A	K08992/K06883	  	S
DLM_2808	2977234	2977548	-	integration host factor subunit beta	K05788	himA	L
DLM_2809	2977556	2979232	-	small subunit ribosomal protein S1	K02945	rpsA	J
DLM_2810	2979341	2980009	-	CMP/dCMP kinase [EC:2.7.4.25]	K00945/K00800	cmk	F
DLM_2811	2980284	2981570	+	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	K00800	aroA	E
DLM_2812	2981738	2982151	+		  	COG4696	S
DLM_2813	2982224	2982772	+	superoxide oxidase [EC:1.10.3.17]	K12262	cybB	C
DLM_2814	2982829	2984346	-	"MFS transporter, DHA2 family, multidrug resistance protein"	K03446	  	  
DLM_2815	2984439	2985347	+		  	lysR	K
DLM_2816	2985547	2986581	-	"LacI family transcriptional regulator, fructose operon transcriptional repressor"	K03435/K02529	purR	K
DLM_2817	2986578	2986787	-	potassium large conductance calcium-activated channel subfamily M beta member 3	K04939	  	  
DLM_2818	2986779	2989283	+	multiphosphoryl transfer protein [EC:2.7.3.9 2.7.1.202]	K23993/K08483	fruB	G
DLM_2819	2989280	2990236	+	1-phosphofructokinase [EC:2.7.1.56]	K00882	  	G
DLM_2820	2990336	2992051	+	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]	K02770	fruA	G
DLM_2821	2992258	2993631	+	"glycoside/pentoside/hexuronide:cation symporter, GPH family"	K03292	melB	G
DLM_2822	2993633	2995993	+	beta-glucosidase [EC:3.2.1.21]	K05349	bglX	G
DLM_2823	2996313	2996465	+	methionyl-tRNA formyltransferase [EC:2.1.2.9]	K00604	  	  
DLM_2824	2996466	2997224	-	"meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"	K18009/K19548	fabG	IQR
DLM_2825	2997324	2997683	+	translation initiation factor 1	K03113	sUI1	J
DLM_2826	2997825	2998427	+	"XRE family transcriptional regulator, regulator of sulfur utilization"	K23779	hipB	S
DLM_2827	2998460	2999767	+	gamma-glutamylputrescine oxidase [EC:1.4.3.-]	K09471	dadA	E
DLM_2828	2999978	3001219	+		  	  	  
DLM_2829	3001771	3002277	+	type VI secretion system protein ImpB	K11901	COG3516	S
DLM_2830	3002305	3003846	+	type VI secretion system protein ImpC	K11900	COG3517	S
DLM_2831	3003928	3005493	+	type VI secretion system protein VasJ	K11910	COG3515	S
DLM_2832	3005510	3007273	+	type VI secretion system protein ImpG	K11896	COG3519	S
DLM_2833	3007252	3008247	+	type VI secretion system protein ImpH	K11895	COG3520	S
DLM_2834	3008279	3008914	+	type VI secretion system protein VasD	K11906	COG3521	S
DLM_2835	3008911	3009408	+	type VI secretion system protein	K11905	COG3518	S
DLM_2836	3009421	3010770	+	type VI secretion system protein ImpJ	K11893	COG3522	S
DLM_2837	3010806	3011411	+	type VI secretion system protein ImpK	K11892	COG3455	S
DLM_2838	3011460	3012998	+		  	ompA	M
DLM_2839	3013087	3013572	+	type VI secretion system secreted protein Hcp	K11903	hcp	S
DLM_2840	3013646	3015979	+	type VI secretion system secreted protein VgrG	K11904	vgrG	S
DLM_2841	3016543	3016815	+	selenocysteine-specific elongation factor	K03833/K12267	  	  
DLM_2842	3016940	3017053	-	apelin receptor	K04174	  	  
DLM_2843	3017742	3018344	+		  	  	  
DLM_2844	3018326	3018979	+		  	  	  
DLM_2845	3018961	3021237	+		  	  	  
DLM_2846	3021249	3022409	+	cilia- and flagella-associated protein 43	K24223	  	  
DLM_2847	3022406	3022684	+		  	COG4104	S
DLM_2848	3022730	3025996	+	type VI secretion system protein ImpL	K11891	icmF	S
DLM_2849	3025993	3026739	-		  	fabG	IQR
DLM_2850	3026740	3027630	-	prephenate dehydrogenase [EC:1.3.1.12]	K04517	tyrA	E
DLM_2851	3027697	3028074	+		  	  	  
DLM_2852	3028084	3028959	-		  	rtn	T
DLM_2853	3029283	3030098	-	4-amino-4-deoxychorismate lyase [EC:4.1.3.38]	K02619	ilvE	EH
DLM_2854	3030098	3031390	-	anthranilate synthase component I [EC:4.1.3.27]	K01657/K01665	trpE	EH
DLM_2855	3031519	3032760	-	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	K09458	fabB	IQ
DLM_2856	3032926	3033165	-	acyl carrier protein	K02078	  	IQ
DLM_2857	3033274	3034011	-	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	K00059	  	IQR
DLM_2858	3034081	3035010	-	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	K00645	fabD	I
DLM_2859	3035165	3036124	-	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	K00648	fabH	I
DLM_2860	3036132	3037142	-	phosphate acyltransferase [EC:2.3.1.274]	K03621	  	I
DLM_2861	3037238	3037417	-	large subunit ribosomal protein L32	K02911	  	J
DLM_2862	3037453	3037953	-	uncharacterized protein	K07040	  	R
DLM_2863	3038013	3038591	+	septum formation protein	K06287	maf	D
DLM_2864	3038591	3039295	+	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	K07056	COG0313	R
DLM_2865	3039307	3040533	+	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	K00763	pncB	H
DLM_2866	3040519	3041373	-		  	COG5495	S
DLM_2867	3041487	3042059	+	LemA protein	K03744	lemA	S
DLM_2868	3042063	3043010	+		  	  	  
DLM_2869	3043144	3043602	+	blue light- and temperature-responsive anti-repressor	K21973	  	  
DLM_2870	3043568	3043690	+	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	K01443	  	  
DLM_2871	3043663	3044940	-	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	K01740	mET17	E
DLM_2872	3045111	3045788	-		  	acrR	K
DLM_2873	3045993	3047576	-	dipeptide transport system substrate-binding protein	K12368/K02035	ddpA	E
DLM_2874	3047709	3049727	-	diguanylate cyclase [EC:2.7.7.65]	K21023	COG5001	T
DLM_2875	3050047	3052899	-	glycine dehydrogenase [EC:1.4.4.2]	K00281	gcvP	E
DLM_2876	3052985	3053371	-	glycine cleavage system H protein	K02437	gcvH	E
DLM_2877	3053463	3054551	-	aminomethyltransferase [EC:2.1.2.10]	K00605	gcvT	E
DLM_2878	3055041	3055985	-	carbamate kinase [EC:2.7.2.2]	K00926	  	E
DLM_2879	3056191	3056331	-	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchanger 1 protein"	K12365	  	  
DLM_2880	3056362	3057372	-	ornithine carbamoyltransferase [EC:2.1.3.3]	K00611	  	E
DLM_2881	3057464	3058699	-	arginine deiminase [EC:3.5.3.6]	K01478	  	E
DLM_2882	3058788	3060116	-	"basic amino acid/polyamine antiporter, APA family"	K03294	potE	E
DLM_2883	3060493	3061458	-	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	K01894	glnS	J
DLM_2884	3061616	3061891	+	ferredoxin	K05524	COG1146	C
DLM_2885	3061904	3062509	-	chemotaxis protein CheD [EC:3.5.1.44]	K03411	cheD	NT
DLM_2886	3062506	3063552	-	"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	K03412	cheB	NT
DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
DLM_2890	3067761	3070052	-	"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	K03407	cheA	NT
DLM_2891	3070140	3070505	-	"two-component system, chemotaxis family, chemotaxis protein CheY"	K03413	cheY	T
DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
DLM_2893	3071892	3072197	-	HptB-dependent secretion and biofilm anti anti-sigma factor	K20978	spoIIAA	T
DLM_2894	3072194	3073399	-	"two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]"	K10942	fleS	T
DLM_2895	3073581	3074531	+	"two-component system, chemotaxis family, chemotaxis protein CheV"	K03415	cheW	T
DLM_2896	3074567	3075511	+	"two-component system, chemotaxis family, chemotaxis protein CheV"	K03415	cheW	T
DLM_2897	3075623	3075952	+	"two-component system, chemotaxis family, chemotaxis protein CheY"	K03413	cheY	T
DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
DLM_2899	3076780	3078699	+	"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	K03407	cheA	NT
DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
DLM_2901	3080046	3080648	+	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	K14742	  	O
DLM_2902	3080645	3081082	+	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	K03789/K14742	  	R
DLM_2903	3081109	3081960	+	uracil-DNA glycosylase [EC:3.2.2.27]	K21929	COG1573	L
DLM_2904	3081973	3082686	-		  	guaA	F
DLM_2905	3082920	3083075	-	large subunit ribosomal protein L33	K02913	rpmG	J
DLM_2906	3083110	3083343	-	large subunit ribosomal protein L28	K02902	  	J
DLM_2907	3083612	3085252	+	CTP synthase [EC:6.3.4.2]	K01937	pyrG	F
DLM_2908	3085255	3086106	+	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	K01627	  	M
DLM_2909	3086209	3087492	+	enolase [EC:4.2.1.11]	K01689	eno	G
DLM_2910	3087500	3087790	+	cell division protein FtsB	K05589	  	D
DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	  	D
DLM_2912	3089700	3090008	-	uncharacterized protein	K09801	COG2914	S
DLM_2913	3090001	3090453	-	coenzyme Q-binding protein COQ10	K18588	COG2867	I
DLM_2914	3090618	3091073	+	SsrA-binding protein	K03664	smpB	O
DLM_2915	3091070	3091426	+	translocator protein	K05770/K13936	  	  
DLM_2916	3091492	3093069	+	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	K01951	guaA	F
DLM_2917	3093473	3093865	+	ElaB protein	K05594	elaB	S
DLM_2918	3093932	3094267	+	pyrimidine precursor biosynthesis enzyme	K18278	  	  
DLM_2919	3094269	3094547	+	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	K07462/K07240	  	  
DLM_2920	3094576	3095511	-	regulatory factor X 1/2/3	K09173	  	  
DLM_2921	3095624	3096373	+	tRNA(adenine34) deaminase [EC:3.5.4.33]	K11991/K01563	  	FJ
DLM_2922	3096396	3097031	+	"L,D-transpeptidase YbiS"	K19235	erfK	S
DLM_2923	3097037	3097453	+		  	  	  
DLM_2924	3097506	3098258	-	trans-aconitate 3-methyltransferase [EC:2.1.1.145]	K22438	ubiE	H
DLM_2925	3098581	3099042	-	uncharacterized protein	K09768	COG1671	S
DLM_2926	3099244	3100392	+	"two-component system, HptB-dependent secretion and biofilm response regulator"	K20977	rsbU	TK
DLM_2927	3100427	3101119	-	putative protein-disulfide isomerase	K07396	COG3531	O
DLM_2928	3101113	3101991	-		  	gloB	R
DLM_2929	3102142	3103365	-	"two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]"	K11444	COG2199	T
DLM_2930	3103597	3104658	+	"LysR family transcriptional regulator, glycine cleavage system transcriptional activator"	K03566	lysR	K
DLM_2931	3104652	3105593	-	"AraC family transcriptional regulator, transcriptional activator FtrA"	K13633	COG4977	K
DLM_2932	3105717	3106244	+		  	pncA	Q
DLM_2933	3106512	3108038	-	"fumarate hydratase, class I [EC:4.2.1.2]"	K01676	fumA	C
DLM_2934	3108132	3109418	-	"two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"	K07679	arcB	T
DLM_2935	3109463	3111187	-	diguanylate cyclase [EC:2.7.7.65]	K21021	ntrY	T
DLM_2936	3111191	3112228	-	putative spermidine/putrescine transport system substrate-binding protein	K02055	potD	E
DLM_2937	3112290	3112550	-	raffinose/stachyose/melibiose transport system permease protein	K10119/K08987	  	  
DLM_2938	3112924	3114072	+	"ammonium transporter, Amt family"	K03320	amtB	P
DLM_2939	3114290	3117436	+	diguanylate cyclase [EC:2.7.7.65]	K21023	narQ	T
DLM_2940	3117451	3120594	-	diguanylate cyclase [EC:2.7.7.65]	K21023	fhlA	T
DLM_2941	3120837	3121871	+	nitronate monooxygenase [EC:1.13.12.16]	K00459	COG2070	R
DLM_2942	3121958	3122248	+	YTH domain-containing protein 1	K20100/K06916	  	  
DLM_2943	3122306	3123328	-	adenine deaminase [EC:3.5.4.2]	K21053	add	F
DLM_2944	3123398	3123634	+	KN motif and ankyrin repeat domain-containing protein	K22808/K07045	  	  
DLM_2945	3123631	3124668	+		  	COG2199	T
DLM_2946	3124668	3126944	+		  	COG2199	T
DLM_2947	3127115	3127768	+	nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]	K10679	nfnB	C
DLM_2948	3127862	3128041	+	integrin beta 3	K06493/K18240	  	  
DLM_2949	3128038	3128175	+	chorismate lyase / 3-hydroxybenzoate synthase [EC:4.1.3.40 4.1.3.45]	K18240	  	  
DLM_2950	3128182	3128316	+	"two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"	K15011/K18240	  	  
DLM_2951	3128579	3129634	+	cobalt/nickel transport system permease protein	K02007	cbiM	P
DLM_2952	3129631	3130482	+	cobalt/nickel transport system permease protein	K02008	cbiQ	P
DLM_2953	3130479	3131333	+	cobalt/nickel transport system ATP-binding protein	K02006	cbiO	P
DLM_2954	3131341	3131787	-	"CopG family transcriptional regulator, nickel-responsive regulator"	K07722	nikR	K
DLM_2955	3131945	3132073	-	aarF domain-containing kinase	K08869	  	  
DLM_2956	3132123	3133607	-	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	K00130	putA	C
DLM_2957	3133656	3134009	-	uncharacterized protein	K06995	COG3450	R
DLM_2958	3134048	3135451	-	gamma-glutamylputrescine oxidase [EC:1.4.3.-]	K09471	dadA	E
DLM_2959	3135459	3135770	-	"two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"	K07708/K03791	  	  
DLM_2960	3135774	3136694	+	"LysR family transcriptional regulator, transcriptional activator for bauABCD operon"	K21699	lysR	K
DLM_2961	3136773	3137438	-	"OmpA-OmpF porin, OOP family"	K03286	ompA	M
DLM_2962	3137737	3138528	-	iron complex transport system ATP-binding protein [EC:7.2.2.-]	K02013	fepC	PH
