"nc"	"X3hControl"	"X3hMedium"	"X3hPlant"	"X7dControl"	"X7dMedium"	"X7dPlant"	"Library"	"Locus_tag"	"start"	"stop"	"strand"	"KEGG_definition"	"Knumber"	"gene_name"	"COG_category"
3061127	2277	2215	174	1503	1470	84	3874	DLM_2883	3060493	3061458	-	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	K01894	glnS	J
3061292	359	344	30	299	326	13	547	DLM_2883	3060493	3061458	-	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	K01894	glnS	J
3061327	2399	2515	181	1484	1599	93	3671	DLM_2883	3060493	3061458	-	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	K01894	glnS	J
3061571	354	323	20	258	268	7	566								
3061604	292	293	0	169	150	11	428								
3061730	514	534	38	393	371	7	879	DLM_2884	3061616	3061891	+	ferredoxin	K05524	COG1146	C
3061766	1915	1833	74	1071	1134	57	2795	DLM_2884	3061616	3061891	+	ferredoxin	K05524	COG1146	C
3062116	1598	1435	65	950	998	42	2500	DLM_2885	3061904	3062509	-	chemotaxis protein CheD [EC:3.5.1.44]	K03411	cheD	NT
3062424	1	0	0	7	0	0	3	DLM_2885	3061904	3062509	-	chemotaxis protein CheD [EC:3.5.1.44]	K03411	cheD	NT
3062502	1617	1462	26	738	671	41	2266	DLM_2885	3061904	3062509	-	chemotaxis protein CheD [EC:3.5.1.44]	K03411	cheD	NT
3062626	94	107	0	37	50	1	123	DLM_2886	3062506	3063552	-	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	K03412	cheB	NT
3062779	2055	1991	184	1483	1572	73	3050	DLM_2886	3062506	3063552	-	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	K03412	cheB	NT
3062882	593	628	36	496	421	22	931	DLM_2886	3062506	3063552	-	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	K03412	cheB	NT
3062905	2	2	0	9	3	0	8	DLM_2886	3062506	3063552	-	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	K03412	cheB	NT
3063215	419	379	46	274	328	11	665	DLM_2886	3062506	3063552	-	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	K03412	cheB	NT
3063842	6	0	0	3	0	0	3	DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
3063886	66	64	0	40	44	1	129	DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
3063957	117	94	1	92	95	0	170	DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
3064024	129	139	4	106	115	4	237	DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
3064068	453	420	23	248	316	16	637	DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
3064317	408	456	19	325	322	31	735	DLM_2887	3063587	3064429	-	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	K00575	cheR	NT
3064810	1487	1245	68	1016	964	60	2718	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3064906	8	5	0	3	4	0	9	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065056	411	377	49	311	337	11	647	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065081	820	751	46	707	619	41	1269	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065350	4	2	0	0	1	2	3	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065613	1515	1524	38	707	605	36	2153	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065770	797	761	51	497	487	19	1201	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065784	286	283	36	239	215	6	529	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065848	177	141	8	74	76	0	244	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065861	1250	1125	94	844	775	63	2088	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3065925	1	4	0	3	0	1	1	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066280	2	2	0	6	0	0	3	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066337	2276	2013	84	1559	1391	85	3519	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066360	40	33	0	30	21	2	66	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066394	69	98	4	5	12	0	99	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066468	448	371	7	275	253	28	577	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066652	1525	1527	152	1347	1294	45	2475	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066732	549	670	24	387	416	12	1064	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066739	17	21	0	10	14	0	30	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066789	2	0	0	5	3	0	3	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3066855	7	11	0	3	1	0	2	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3067156	568	507	39	386	402	21	862	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3067202	436	400	12	273	254	21	587	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3067219	162	158	10	139	149	2	259	DLM_2888	3064448	3067219	-	methyl-accepting chemotaxis protein	K03406	tar	T
3067255	118	117	4	128	117	0	269	DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
3067359	1034	1090	58	637	637	28	1498	DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
3067471	851	713	67	452	540	13	1110	DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
3067503	1545	1434	38	760	727	32	2016	DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
3067631	512	603	65	367	344	6	883	DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
3067725	843	764	72	666	630	53	1279	DLM_2889	3067250	3067744	-	purine-binding chemotaxis protein CheW	K03408	cheW	NT
3068074	908	813	61	567	607	29	1403	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3068176	1118	1141	77	670	674	26	1545	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3068265	3	3	0	2	1	0	6	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3068397	867	867	49	544	573	20	1276	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3068834	276	296	19	227	212	7	472	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069044	528	454	47	292	326	17	773	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069458	614	620	60	467	428	17	1178	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069582	3421	3077	275	1973	1960	84	4837	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069584	1441	1345	117	950	917	53	2112	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069586	2077	2067	87	1166	997	64	3095	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069593	3241	3134	152	1686	1894	97	5008	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069639	706	773	38	542	535	16	1187	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3069851	190	191	2	146	133	9	302	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3070040	958	858	39	627	578	28	1303	DLM_2890	3067761	3070052	-	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3070285	343	319	6	182	150	14	464	DLM_2891	3070140	3070505	-	two-component system, chemotaxis family, chemotaxis protein CheY	K03413	cheY	T
3070694	142	118	0	58	57	2	187	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3070894	263	242	14	214	202	0	407	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3071101	473	419	28	198	187	7	551	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3071147	1407	1355	64	837	714	41	1974	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3071571	507	477	30	342	305	7	762	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3071591	688	635	24	411	341	7	1028	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3071604	89	102	0	60	56	0	130	DLM_2892	3070535	3071614	-	methyl-accepting chemotaxis protein	K03406	tar	NT
3071740	189	196	17	173	163	9	349								
3071903	129	113	10	89	94	13	208	DLM_2893	3071892	3072197	-	HptB-dependent secretion and biofilm anti anti-sigma factor	K20978	spoIIAA	T
3071960	400	446	82	331	331	10	698	DLM_2893	3071892	3072197	-	HptB-dependent secretion and biofilm anti anti-sigma factor	K20978	spoIIAA	T
3072182	1658	1532	142	1113	1089	71	2451	DLM_2893	3071892	3072197	-	HptB-dependent secretion and biofilm anti anti-sigma factor	K20978	spoIIAA	T
3072212	230	219	8	267	197	3	417	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072214	298	233	83	211	191	20	441	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072589	26	25	0	127	79	0	46	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072619	2094	2230	15	8541	4351	17	3727	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072715	1760	1849	6	5931	3618	43	3007	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072725	23	9	0	103	43	0	35	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072817	602	746	4	3081	1603	13	1064	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072819	113	123	0	586	232	0	210	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3072958	795	796	5	3110	1629	6	1163	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3073030	742	780	6	3301	2052	33	1373	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3073032	2035	2095	31	8536	4248	27	3850	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3073289	958	1023	1	2257	1193	2	1473	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3073295	332	378	0	1389	795	3	569	DLM_2894	3072194	3073399	-	two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]	K10942	fleS	T
3073411	180	179	4	529	380	5	340								
3073428	380	364	8	1310	651	14	658								
3073440	1760	1643	160	1122	1196	59	2595								
3073447	302	256	19	141	158	14	434								
3073468	372	356	41	288	276	2	539								
3073519	50	44	8	51	40	1	113								
3073530	830	616	284	539	611	15	1132								
3073541	76	51	2	56	56	0	108								
3073544	1656	1430	217	1145	1025	10	2272								
3075538	123	89	3	38	32	0	121								
3076267	1614	1539	168	1336	1271	36	2744	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076269	675	720	35	431	383	20	1088	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076333	5	7	0	27	23	0	10	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076390	4836	4722	358	3000	2873	164	8046	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076560	60	67	1	41	49	0	99	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076569	1896	1781	311	1488	1407	44	3236	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076571	887	806	65	538	452	5	1219	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076738	837	887	55	581	483	15	1347	DLM_2898	3076003	3076740	+	chemotaxis protein CheZ	K03414	cheZ	NT
3076839	211	245	4	18	13	0	378	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3076985	3576	3357	139	1774	1559	42	4907	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077018	727	742	45	424	337	1	1139	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077022	1446	1379	68	817	778	52	2203	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077093	5	5	0	5	4	0	0	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077165	583	591	20	377	315	0	946	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077508	1869	1728	49	676	530	13	2276	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077622	187	225	1	82	70	0	340	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077734	549	545	20	304	267	9	779	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3077904	989	1054	22	595	505	5	1530	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3078671	132	148	0	49	35	0	209	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3078697	321	279	19	272	264	10	482	DLM_2899	3076780	3078699	+	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	K03407	cheA	NT
3078722	343	335	26	521	549	318	537								
3078866	199	184	19	128	102	4	311	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3078888	248	241	2	220	201	15	426	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079132	2135	2171	86	1476	1352	131	3208	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079246	600	626	26	497	480	20	942	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079291	2088	2153	46	1481	1417	42	3165	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079432	1165	1320	44	871	882	19	1983	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079531	608	630	15	370	340	21	907	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079607	484	458	21	329	308	18	729	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079788	626	596	11	351	432	9	838	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3079880	610	666	3	378	437	19	1069	DLM_2900	3078724	3079947	+	c-di-GMP phosphodiesterase [EC:3.1.4.52]	K07181	COG3434	T
3081588	13	11	8	2	8	1	12	DLM_2903	3081109	3081960	+	uracil-DNA glycosylase [EC:3.2.2.27]	K21929	COG1573	L
3081965	740	660	46	530	549	35	1085								
3082004	592	533	43	497	497	24	886	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082214	148	107	5	70	54	1	157	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082266	828	833	97	683	751	35	1245	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082547	470	462	11	320	279	9	687	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082583	549	551	37	399	471	15	945	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082625	206	182	32	148	185	2	291	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082657	442	426	37	343	399	23	666	DLM_2904	3081973	3082686	-	NA	NA	guaA	F
3082758	1847	1820	150	1132	1171	75	2650								
3082767	2018	1719	146	1357	1322	96	2858								
3082862	189	176	20	128	125	6	211								
3082946	237	239	6	140	156	5	320	DLM_2905	3082920	3083075	-	large subunit ribosomal protein L33	K02913	rpmG	J
3083018	896	894	57	592	564	29	1341	DLM_2905	3082920	3083075	-	large subunit ribosomal protein L33	K02913	rpmG	J
3083021	166	142	9	100	133	2	224	DLM_2905	3082920	3083075	-	large subunit ribosomal protein L33	K02913	rpmG	J
3083078	209	211	6	102	111	15	315								
3083081	20	10	0	11	6	0	29								
3083095	349	298	0	134	121	4	425								
3083099	176	192	16	114	123	5	349								
3083443	0	3	0	1	0	3	3								
3083623	3	1	0	2	2	0	3	DLM_2907	3083612	3085252	+	CTP synthase [EC:6.3.4.2]	K01937	pyrG	F
3084119	0	1	0	1	0	19	3	DLM_2907	3083612	3085252	+	CTP synthase [EC:6.3.4.2]	K01937	pyrG	F
3084986	11	9	0	1	0	0	10	DLM_2907	3083612	3085252	+	CTP synthase [EC:6.3.4.2]	K01937	pyrG	F
3086173	2	4	1	1	2	0	3								
3086424	2	4	0	0	3	0	4	DLM_2909	3086209	3087492	+	enolase [EC:4.2.1.11]	K01689	eno	G
3087792	1416	1342	109	892	948	38	2301								
3087829	203	176	6	151	149	8	354								
3087833	17	22	5	16	10	1	31								
3087843	290	228	11	185	231	7	461	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3087908	358	308	15	256	243	19	629	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088219	372	391	6	294	367	12	609	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088270	681	762	26	308	422	55	1027	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088281	2	3	0	0	2	0	3	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088316	352	342	8	233	254	3	556	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088366	1177	983	34	802	836	34	1755	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088433	2093	1972	107	1246	1471	43	3042	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088436	285	278	1	85	86	7	383	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088584	783	752	45	555	624	32	1170	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088719	224	234	0	10	1	0	387	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088788	149	175	8	85	96	0	210	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3088958	3	2	0	2	3	0	1	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089003	95	129	1	89	85	0	149	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089024	1239	1163	51	776	852	21	1791	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089108	581	542	12	356	304	11	861	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089178	730	619	4	358	395	21	975	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089449	960	922	55	684	860	30	1391	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089495	2	4	0	1	0	0	3	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089594	8	3	3	3	8	0	5	DLM_2911	3087834	3089654	+	diguanylate cyclase [EC:2.7.7.65]	K13590	NA	D
3089669	14	21	0	11	3	0	15								
3089685	228	185	13	214	195	29	349								
3089846	489	468	14	398	414	6	784	DLM_2912	3089700	3090008	-	uncharacterized protein	K09801	COG2914	S
3090014	889	894	25	654	797	50	1393	DLM_2913	3090001	3090453	-	coenzyme Q-binding protein COQ10	K18588	COG2867	I
3090909	7	5	0	3	3	0	9	DLM_2914	3090618	3091073	+	SsrA-binding protein	K03664	smpB	O
3091151	5	3	0	1	1	0	7	DLM_2915	3091070	3091426	+	translocator protein	K05770/K13936	NA	NA
3091274	42	28	0	26	20	0	55	DLM_2915	3091070	3091426	+	translocator protein	K05770/K13936	NA	NA
3091769	0	2	1	2	3	1	3	DLM_2916	3091492	3093069	+	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	K01951	guaA	F
3091993	5	3	0	2	4	3	5	DLM_2916	3091492	3093069	+	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	K01951	guaA	F
3093147	207	211	16	154	165	11	335								
3093347	663	699	31	381	343	31	1010								
3093381	312	291	8	200	161	11	415								
3093512	309	280	32	211	197	7	549	DLM_2917	3093473	3093865	+	ElaB protein	K05594	elaB	S
3093600	1655	1431	114	1159	1151	70	2542	DLM_2917	3093473	3093865	+	ElaB protein	K05594	elaB	S
3093778	708	655	6	278	277	10	898	DLM_2917	3093473	3093865	+	ElaB protein	K05594	elaB	S
3093872	704	688	59	479	525	36	1089								
3094119	605	589	73	57	36	0	1001	DLM_2918	3093932	3094267	+	pyrimidine precursor biosynthesis enzyme	K18278	NA	NA
3094174	1826	1608	130	1177	1269	112	2824	DLM_2918	3093932	3094267	+	pyrimidine precursor biosynthesis enzyme	K18278	NA	NA
3094176	473	414	20	300	301	13	837	DLM_2918	3093932	3094267	+	pyrimidine precursor biosynthesis enzyme	K18278	NA	NA
3094360	1001	921	94	764	733	33	1671	DLM_2919	3094269	3094547	+	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	K07462/K07240	NA	NA
3094453	65	68	3	65	61	4	126	DLM_2919	3094269	3094547	+	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	K07462/K07240	NA	NA
3094483	202	221	17	176	193	7	422	DLM_2919	3094269	3094547	+	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	K07462/K07240	NA	NA
3094599	488	446	75	369	400	11	775	DLM_2920	3094576	3095511	-	regulatory factor X 1/2/3	K09173	NA	NA
3094648	1412	1495	115	863	1063	72	2255	DLM_2920	3094576	3095511	-	regulatory factor X 1/2/3	K09173	NA	NA
3094836	448	437	5	348	314	6	654	DLM_2920	3094576	3095511	-	regulatory factor X 1/2/3	K09173	NA	NA
3095087	5	8	0	2	0	0	8	DLM_2920	3094576	3095511	-	regulatory factor X 1/2/3	K09173	NA	NA
3095247	421	440	33	379	412	10	746	DLM_2920	3094576	3095511	-	regulatory factor X 1/2/3	K09173	NA	NA
3095513	10	10	0	4	7	0	8								
3095528	268	233	38	275	268	6	451								
3095541	235	220	6	125	157	2	345								
3095568	1019	1021	71	871	860	73	1762								
3095592	807	836	16	445	436	22	1143								
3096618	1657	1554	51	714	810	70	2183	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3096620	472	484	13	301	327	27	708	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3096666	1071	1036	65	792	816	24	1834	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3096694	1123	1117	59	693	789	5	1682	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3096751	4	3	0	9	2	0	5	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3096765	117	91	2	53	62	7	150	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3096829	525	414	21	308	348	26	748	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3097013	7	4	0	2	1	0	12	DLM_2922	3096396	3097031	+	L,D-transpeptidase YbiS	K19235	erfK	S
3097033	374	375	40	310	297	3	677								
3097106	820	703	69	655	705	31	1266	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097108	1611	1727	104	920	953	32	2591	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097151	553	533	68	472	505	21	935	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097292	306	340	18	246	257	7	483	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097294	141	115	2	130	112	11	253	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097320	760	719	58	571	683	51	1145	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097405	2	0	0	0	0	0	8	DLM_2923	3097037	3097453	+	NA	NA	NA	NA
3097638	3816	3709	123	3660	3955	553	5584	DLM_2924	3097506	3098258	-	trans-aconitate 3-methyltransferase [EC:2.1.1.145]	K22438	ubiE	H
3097658	71	88	16	82	83	3	133	DLM_2924	3097506	3098258	-	trans-aconitate 3-methyltransferase [EC:2.1.1.145]	K22438	ubiE	H
3097708	286	260	0	216	217	22	291	DLM_2924	3097506	3098258	-	trans-aconitate 3-methyltransferase [EC:2.1.1.145]	K22438	ubiE	H
